Longitude,Latitude,YearNum,Year,Season,Type,AreaHa,PerimeterM,StartDate,EndDate,FireNo,FireName,Shape__Area,Shape__Length
152.0778454155725,-31.12883761616407,2010,2010,2010-11,Prescribed Burn,93.81757934,10711.4689746,2010/09/29 00:00:00+00,2010/09/30 00:00:00+00,HR07080925312,WCH - Mount Partridge SFAZ 2010,937682.296875,10708.65546337
152.06934347400409,-31.143492998810345,2010,2010,2010-11,Prescribed Burn,353.54135265,34890.3759557,2010/09/29 00:00:00+00,2010/09/30 00:00:00+00,HR08050830157,WCH - West Burrakai HR SFAZ 2010,3533485.83984375,34880.8138909532
152.06454410677617,-31.09910838068565,2010,2010,2010-11,Prescribed Burn,381.175975,39676.673908,2010/09/29 00:00:00+00,2010/09/30 00:00:00+00,HR10073045323,WCH - Black Springs HR,3809898.453125,39667.0107412935
152.08872188067772,-28.858794838492994,2010,2010,2010-11,Prescribed Burn,900.82507437,37517.4811412,2010/09/02 00:00:00+00,2010/09/10 00:00:00+00,HR10061644617, ,9043376.87109375,37590.1613960021
148.46797962527003,-34.211311703973365,2012,2012,2012-13,Prescribed Burn,25.46472449,2150.53859856,2013/04/01 00:00:00+00,2013/04/01 00:00:00+00,HR12011356799,Hardys,254234.65234375,2148.79594823938
152.26263783583633,-31.072118982095333,2010,2010,2010-11,Wildfire,69.40735237,6284.65569844,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,Not in ICON,Youdales Fire,693758.99609375,6283.23174575156
150.89608142640247,-33.612298461054166,2010,2010,2010-11,Prescribed Burn,6.42170393,3119.53769089,2010/08/31 00:00:00+00,2010/08/31 00:00:00+00,HR10022442709,Midson Road South,64097.79296875,3116.64024121274
152.98877058434545,-30.05887417501203,2010,2010,2010-11,Prescribed Burn,2.21753777,858.18236716,2010/08/09 00:00:00+00,1970/01/01 00:00:00+00,HR10033143286,Kookaburra APZ,22201.5703125,858.688604691552
152.7305707244824,-30.87280907767527,2010,2010,2010-11,Prescribed Burn,171.79041985,20415.5706676,2010/08/18 00:00:00+00,1970/01/01 00:00:00+00,HR10021042525,Collombatti SFAZ,1717594.89453125,20413.7424304777
152.77950147078016,-30.914600961486077,2010,2010,2010-11,Prescribed Burn,768.31703869,13542.5445417,2010/08/17 00:00:00+00,1970/01/01 00:00:00+00,HR10012942416,Eungai Ck Headwaters LMZ,7681332.1875,13540.9353299811
152.7857021426091,-30.77338798932182,2010,2010,2010-11,Prescribed Burn,292.20711549,7408.47596781,2010/08/08 00:00:00+00,1970/01/01 00:00:00+00,HR10012942417,Maloneys Creek,2921969.0703125,7408.34908385552
152.56043518740094,-29.639868229216795,2010,2010,2010-11,Prescribed Burn,405.5953173,10970.3950089,2010/08/17 00:00:00+00,1970/01/01 00:00:00+00,HR09021835762,Far Creek SFAZ,4064197.86328125,10981.5206366958
152.28412017680967,-29.93138520250338,2010,2010,2010-11,Prescribed Burn,1014.66959674,28084.7494523,2010/08/09 00:00:00+00,1970/01/01 00:00:00+00,HR09111941321,Boyd East SFAZ,10161190.3984375,28104.848306285
152.97058435771785,-31.315999982712054,2010,2010,2010-11,Prescribed Burn,0.20436135,211.98155498,2010/08/31 00:00:00+00,1970/01/01 00:00:00+00,HR10041543421,Plommer SFAZ,2042.0703125,211.90144456666
152.97054069804994,-31.314884748996583,2010,2010,2010-11,Prescribed Burn,0.09522421,119.65079366,2010/08/31 00:00:00+00,1970/01/01 00:00:00+00,HR10041543421,Plommer SFAZ,951.54296875,119.605636485869
152.97072497701768,-31.315494622372803,2010,2010,2010-11,Prescribed Burn,3.38013151,1832.92841786,2010/08/31 00:00:00+00,1970/01/01 00:00:00+00,HR10041543421,Plommer SFAZ,33775.796875,1832.23647038467
152.97231469744855,-31.31560166091255,2010,2010,2010-11,Prescribed Burn,3.74926735,988.64226372,2010/08/31 00:00:00+00,1970/01/01 00:00:00+00,HR10041543421,Plommer SFAZ,37464.37890625,988.269033631486
152.91538152751585,-30.811575078512544,2010,2010,2010-11,Prescribed Burn,29.39096603,2808.95739997,2010/08/30 00:00:00+00,1970/01/01 00:00:00+00,HR09021235655-2,PTC SFAZ,293882.76953125,2808.82994967261
152.86123428627744,-31.5382114554165,2010,2010,2010-11,Prescribed Burn,70.33740982,4018.81303268,2010/09/02 00:00:00+00,1970/01/01 00:00:00+00,HR08012327766,Perch Hole SFAZ,702670.95703125,4016.80256275474
152.86252033308585,-31.151363048960686,2010,2010,2010-11,Prescribed Burn,107.12291967,5902.68577113,2010/09/02 00:00:00+00,1970/01/01 00:00:00+00,HR07052123866,Rifle 1 SFAZ,1070634.453125,5901.0457268704
152.86879071877743,-31.155487558777224,2010,2010,2010-11,Prescribed Burn,7.56204295,2723.13549108,2010/09/03 00:00:00+00,1970/01/01 00:00:00+00,HR08022528506,Rifle 2 SFAZ,75578.0390625,2722.37162762186
153.2935204984722,-29.766129793208666,2010,2010,2010-11,Prescribed Burn,4.01815842,860.2591325,2010/09/16 00:00:00+00,1970/01/01 00:00:00+00,HR10082645641,Minni Water SFAZ,40252.5078125,861.017977054932
152.78731534893922,-29.206789811532914,2010,2010,2010-11,Prescribed Burn,973.57074275,17018.1028388,2010/08/27 00:00:00+00,1970/01/01 00:00:00+00,HR09042437031,Franeys SFAZ,9765140.18359375,17043.8227652882
153.1567196692971,-29.523065962481187,2010,2010,2010-11,Prescribed Burn,80.83416044,4874.21309591,2010/08/18 00:00:00+00,1970/01/01 00:00:00+00,HR1002154564,Woodford Island,810191.80859375,4879.78777771156
153.58288305065312,-28.62587338521923,2010,2010,2010-11,Prescribed Burn,11.36406058,3367.02088885,2010/09/01 00:00:00+00,1970/01/01 00:00:00+00,HR10043043595,Bayshore SFAZ,114154.859375,3374.63082335806
151.8164811751714,-32.312648985861465,2010,2010,2010-11,Prescribed Burn,84.29063433,5321.71880361,2010/09/01 00:00:00+00,1970/01/01 00:00:00+00, ,Trevor Tops SFAZ 1,841539.0859375,5317.40124045997
151.64168691401878,-31.689160889044473,2010,2010,2010-11,Prescribed Burn,95.92721743,4111.68044467,2010/09/08 00:00:00+00,1970/01/01 00:00:00+00, ,Mooney Ground,958169.6875,4109.31700532907
151.7703346181488,-31.740119873966094,2010,2010,2010-11,Prescribed Burn,553.13528007,9683.83957244,2010/09/08 00:00:00+00,1970/01/01 00:00:00+00, ,Giro,5524733.89453125,9678.04531951473
152.53342619768435,-32.43663584062679,2010,2010,2010-11,Prescribed Burn,0.40623888,301.12738766,2010/09/13 00:00:00+00,1970/01/01 00:00:00+00, ,Kinka Rd,4055.52734375,300.872969055091
152.54150004328957,-31.78716207926719,2010,2010,2010-11,Prescribed Burn,3.97260867,1573.33135486,2010/09/09 00:00:00+00,1970/01/01 00:00:00+00, ,Lansdowne,39676.90234375,1572.35630283732
152.53338959820246,-31.986304150089822,2010,2010,2010-11,Prescribed Burn,151.0546238,6527.29137044,2010/09/29 00:00:00+00,1970/01/01 00:00:00+00, ,Metz,1508426.10546875,6522.70924441637
152.39578310142656,-32.023754579395344,2010,2010,2010-11,Prescribed Burn,209.82333587,6598.17541054,2010/09/28 00:00:00+00,1970/01/01 00:00:00+00, ,Possum Brush,2095228.9921875,6593.44910794362
152.52902661229993,-32.005163681907355,2010,2010,2010-11,Prescribed Burn,14.68041186,1901.50931256,2010/09/30 00:00:00+00,1970/01/01 00:00:00+00, ,Kooringhat,146595.98046875,1900.16076455169
152.60441803689343,-31.89849719848949,2010,2010,2010-11,Prescribed Burn,17.9343963,1697.34446361,2010/09/22 00:00:00+00,1970/01/01 00:00:00+00, ,Towibakh / Southern Block,179104.765625,1696.21217258656
152.46643235643117,-32.40470985115947,2010,2010,2010-11,Prescribed Burn,66.0833633,8980.14269717,2010/09/01 00:00:00+00,1970/01/01 00:00:00+00, ,Horse Point,659728.63671875,8972.62841637067
152.4962531417542,-32.433806685789804,2010,2010,2010-11,Prescribed Burn,800.64799687,17540.8274499,2010/10/29 00:00:00+00,1970/01/01 00:00:00+00, ,Yagon Fire Trail,7992974.03515625,17526.0353891597
152.17781541229778,-32.72755654980104,2010,2010,2010-11,Prescribed Burn,13.71922959,3538.08171291,2010/07/01 00:00:00+00,1970/01/01 00:00:00+00, ,East Shoal Bay,136944.3515625,3534.88270517699
152.40454062213277,-32.02462033505279,2010,2010,2010-11,Prescribed Burn,60.50907989,5062.42515959,2010/09/08 00:00:00+00,1970/01/01 00:00:00+00, ,Coastes SFAZ,604224.00390625,5058.79970066274
152.41171419976746,-32.028889608227416,2010,2010,2010-11,Prescribed Burn,29.99013215,3654.91605317,2010/09/08 00:00:00+00,1970/01/01 00:00:00+00, ,Coastes SFAZ,299470.76171875,3652.29144326877
152.21846055384088,-32.506546175103516,2010,2010,2010-11,Prescribed Burn,45.28086703,5567.08659364,2010/09/17 00:00:00+00,1970/01/01 00:00:00+00, ,Nerong Village North/East,452029.1171875,5562.2918911651
152.31436658444971,-32.143828521113235,2010,2010,2010-11,Prescribed Burn,75.88502676,8518.56547482,2010/10/22 00:00:00+00,1970/01/01 00:00:00+00, ,Harwoods,757699.4296875,8512.10276547289
151.4047807674355,-32.01341057939537,2010,2010,2010-11,Prescribed Burn,661.38236521,17220.2059037,2011/01/30 00:00:00+00,1970/01/01 00:00:00+00, ,Middle Ridge,6604405.09375,17207.9622022098
152.1426449019191,-32.73233772022767,2010,2010,2010-11,Prescribed Burn,7.84161594,1426.05734578,2010/09/22 00:00:00+00,1970/01/01 00:00:00+00, ,Diridgeree Street,78274.30078125,1424.76669185213
152.64508079850847,-29.682141632552042,2010,2010,2010-11,Wildfire,22.44643984,2889.64193743,2010/09/03 00:00:00+00,2010/09/03 00:00:00+00, ,Main Creek Fire,224900.33984375,2892.4467038963
153.10590826922478,-29.87273051834056,2010,2010,2010-11,Wildfire,98.94993271,6150.30738316,2010/08/27 00:00:00+00,2010/09/01 00:00:00+00,10082731935,Bald Knob Fire,991029.04296875,6155.06040158713
153.03593821329372,-31.046220354238745,2010,2010,2010-11,Wildfire,21.86492656,2763.57408298,2010/08/18 00:00:00+00,2010/08/19 00:00:00+00,10081831800,Hat head Fire,218557.66796875,2762.9944311126
152.76898781969604,-31.64388546717915,2010,2010,2010-11,Wildfire,1.59181378,646.10756938,2010/10/23 00:00:00+00,2010/10/23 00:00:00+00, ,Brotherglen Fire,15900.546875,645.75015010221
152.43664109287886,-30.211683222024053,2010,2010,2010-11,Wildfire,70.72555233,4767.60591453,2010/10/22 00:00:00+00,2010/10/24 00:00:00+00,na,Mt Hyland,707888.2734375,4769.73923211763
152.37211814181651,-30.712245304516763,2010,2010,2010-11,Wildfire,715.50522759,14624.1221853,2010/09/09 00:00:00+00,2010/09/11 00:00:00+00,na,Wallaby Gully,7155461.6875,14624.5350257881
152.54385048677244,-31.751734301562685,2010,2010,2010-11,Wildfire,421.66873133,14445.1165882,2010/09/28 00:00:00+00,2010/09/28 00:00:00+00,HN07,Koolah Creek Fire,4211596.9765625,14436.3994052569
151.79845034353272,-32.785566596287666,2010,2010,2010-11,Wildfire,117.51134877,5596.9416439,2010/12/26 00:00:00+00,2010/12/27 00:00:00+00,HN11,Grahamstown Fire,1172968.97265625,5591.83173956075
152.39584242342903,-32.04200964135818,2010,2010,2010-11,Wildfire,34.55835834,3822.92553117,2011/09/11 00:00:00+00,2011/09/15 00:00:00+00,HN04,Possum Brush Rd.,345084.12890625,3820.16196248865
151.85753151831202,-32.632956244632,2010,2010,2010-11,Wildfire,78.0151508,4244.73611292,2011/12/30 00:00:00+00,2011/01/04 00:00:00+00,HN12,Lone Pine,778767.1875,4240.96805113256
152.71794271176552,-31.80024700158535,2010,2010,2010-11,Wildfire,1.23183,694.58481202,2010/12/05 00:00:00+00,2010/12/07 00:00:00+00,HN10,Swamp Hill Fire,12302.90234375,694.150467323164
152.5173031744749,-31.984786463124166,2010,2010,2010-11,Wildfire,7.86409832,1692.03550472,2011/02/04 00:00:00+00,2011/02/06 00:00:00+00,HN14,Ramseys Fire,78530.6953125,1690.84861726027
152.28836838432417,-32.33694316408456,2010,2010,2010-11,Wildfire,9.46838383,1527.20744608,2010/09/27 00:00:00+00,2010/09/29 00:00:00+00,HN06,Newmans Road,94528.96875,1525.95789299561
151.97688253624014,-32.74231911392112,2010,2010,2010-11,Wildfire,97.77677881,4633.27665963,2011/02/24 00:00:00+00,2011/02/26 00:00:00+00,HN15,Drop Zone,975996.0,4629.07621746426
152.72860827697633,-31.820798723701564,2010,2010,2010-11,Wildfire,0.17711458,177.5868446,2010/10/09 00:00:00+00,2011/10/09 00:00:00+00,HN09,Abbey Creek 10,1768.8984375,177.474185985545
152.71219936816243,-31.793971272227928,2010,2010,2010-11,Wildfire,0.24011646,263.42961474,2011/01/24 00:00:00+00,2011/01/24 00:00:00+00,HN13,Coraville,2398.18359375,263.265723766334
151.89644927110064,-32.80974846418568,2010,2010,2010-11,Wildfire,12.36593564,1373.28103606,2010/10/01 00:00:00+00,2010/10/01 00:00:00+00,HN08,Sandhills Fire,123432.796875,1372.02241448446
151.98909291918287,-32.725493219073556,2010,2010,2010-11,Wildfire,11.05468852,1514.13576481,2010/08/22 00:00:00+00,2010/08/24 00:00:00+00,HN01,Tanilba,101590.39453125,1504.64986319226
152.27312984276395,-32.3719284331614,2010,2010,2010-11,Wildfire,4.671314,995.4106789,2010/08/26 00:00:00+00,2010/08/28 00:00:00+00,HN02,Stone Creek Rd.,46635.83984375,994.586648291871
152.150823907218,-32.37975626245138,2010,2010,2010-11,Wildfire,16.2618183,1891.82350546,2010/08/27 00:00:00+00,2010/08/27 00:00:00+00,HN03,Knob Road Fire,162348.37890625,1890.2533342165
152.1190960120609,-32.44936941585533,2010,2010,2010-11,Wildfire,164.5995806,6265.53336933,2010/09/22 00:00:00+00,2010/09/30 00:00:00+00,HN05,Devils Elbow - Crawford Rv.,1643206.6328125,6260.22318629033
153.28649975891904,-29.774368422762986,2010,2010,2010-11,Prescribed Burn,4.71480464,1298.47676536,2011/05/18 00:00:00+00,1970/01/01 00:00:00+00,HR10082645641,Minnie Water SFAZ,47230.44140625,1299.61099068547
150.8810715309467,-30.46216755874694,2010,2010,2010-11,Wildfire,1.16345874,449.09136128,2011/01/28 00:00:00+00,2011/01/31 00:00:00+00,11012834110,Linton NR,11639.9296875,449.194065644471
151.27493102994083,-33.80821284094912,2010,2010,2010-11,Prescribed Burn,0.28854077,225.34524509,2010/09/02 00:00:00+00,2010/09/02 00:00:00+00, ,Reef Beach,2880.21484375,225.141739396869
151.21102644408336,-33.77540155717321,2010,2010,2010-11,Prescribed Burn,27.08182957,3628.93965224,2011/03/10 00:00:00+00,2011/03/10 00:00:00+00, ,Ballyshannon_HR,270327.03515625,3625.64683378085
151.0967311283343,-33.75360369071214,2010,2010,2010-11,Prescribed Burn,17.27896039,2744.75824205,2010/12/15 00:00:00+00,2010/12/15 00:00:00+00, ,Whale_Rock_amended_HR,172475.0078125,2742.25849916632
151.11458947237054,-33.6581321761328,2010,2010,2010-11,Prescribed Burn,2.03473546,979.43719944,2010/09/21 00:00:00+00,2010/09/21 00:00:00+00, ,Beryl_SZ7_HR,20309.7734375,978.532484573978
151.14730289661628,-33.67649352597351,2010,2010,2010-11,Prescribed Burn,146.31518893,7914.02105002,2010/09/29 00:00:00+00,2010/10/02 00:00:00+00, ,Gibberagong HR,1460457.0234375,7906.72831828293
151.11863404245258,-33.64835310633222,2010,2010,2010-11,Prescribed Burn,0.3132788,288.60803982,2010/09/25 00:00:00+00,2010/09/25 00:00:00+00, ,Gleeson Ck Preburn Phase 2,3126.9921875,288.341249312407
151.11771678990843,-33.651104879880826,2010,2010,2010-11,Prescribed Burn,18.55274005,3008.11023371,2011/02/26 00:00:00+00,2011/02/26 00:00:00+00, ,Gleeson Ck Phase 2,185184.5546875,3005.32957043352
151.13976517591325,-33.77475865704464,2010,2010,2010-11,Prescribed Burn,3.65194669,1003.14191039,2010/08/30 00:00:00+00,2010/08/30 00:00:00+00, ,Terrace Rd,36453.23046875,1002.2316104129
151.1142919548624,-33.65637636675148,2010,2010,2010-11,Prescribed Burn,0.16814477,184.04764689,2010/11/26 00:00:00+00,2010/11/26 00:00:00+00, ,Beryl A,1678.33203125,183.87758037912
151.08960532656326,-33.6823512290415,2010,2010,2010-11,Prescribed Burn,2.00044367,928.51812879,2010/09/25 00:00:00+00,2010/09/25 00:00:00+00, ,Control Sth APZ Preburn Phase 1,19967.6015625,927.663290415261
151.09503256387774,-33.680453578329896,2010,2010,2010-11,Prescribed Burn,11.92809139,2343.79380244,2010/11/27 00:00:00+00,2010/11/27 00:00:00+00, ,Control Sth APZ Phase 1,119061.3125,2341.63555642593
151.0957592347183,-33.67570718071831,2010,2010,2010-11,Prescribed Burn,6.65445323,1350.57454531,2011/03/08 00:00:00+00,2011/03/08 00:00:00+00, ,Control Sth APZ,66421.94140625,1349.33000154909
151.04454372056875,-33.49518354553837,2010,2010,2010-11,Prescribed Burn,172.21861571,6648.33460934,2010/09/18 00:00:00+00,2010/09/19 00:00:00+00, ,Canoelands Stage 1,1718952.828125,6642.09060172223
151.15168397579444,-33.79034763423784,2010,2010,2010-11,Prescribed Burn,4.52295877,1463.89922937,2010/08/31 00:00:00+00,2010/09/01 00:00:00+00, ,Max Allen,45147.7421875,1462.57446518627
148.51626477257528,-35.91320587096272,2010,2010,2010-11,Wildfire,22.81293876,3305.49267509,2010/12/14 00:00:00+00,2010/12/17 00:00:00+00,10121433395,Suicide Hole,228188.30859375,3305.9198751155
149.4371549053808,-35.28658739165043,2010,2010,2010-11,Wildfire,4.41787432,993.58740814,2010/09/05 00:00:00+00,2010/09/07 00:00:00+00,1009732180,Turallo,44150.33203125,993.268007548882
149.29623670183398,-35.37122204658206,2010,2010,2010-11,Prescribed Burn,0.23095302,174.40192779,2011/05/10 00:00:00+00,2011/05/10 00:00:00+00,HR09050437145,Wanna Wanna,2308.3046875,174.355212947445
149.29588721510714,-35.370646726743054,2010,2010,2010-11,Prescribed Burn,0.1692174,150.86121574,2011/05/10 00:00:00+00,2011/05/10 00:00:00+00,HR09050437145,Wanna Wanna,1691.265625,150.820738818996
150.92725458683728,-33.256535184574645,2010,2010,2010-11,Prescribed Burn,201.63796137,15538.0461952,2010/09/01 00:00:00+00,2010/09/04 00:00:00+00,HR08041129399,Gorricks Pt 2,2012560.83984375,15523.3254663667
150.97924374880526,-33.363049018066086,2010,2010,2010-11,Prescribed Burn,172.58408868,6726.94781699,2010/09/30 00:00:00+00,2010/10/02 00:00:00+00,HR08041129402,OGNR Pt 4,1722577.5859375,6720.58502692959
150.7532526144176,-33.36183127782432,2010,2010,2010-11,Prescribed Burn,430.72836888,23812.6360844,2010/08/27 00:00:00+00,2010/08/29 00:00:00+00,HR08041129406,Mile Ridge East Pt 2,4299139.1796875,23790.1130740897
150.72739330591102,-33.35716546565816,2010,2010,2010-11,Prescribed Burn,331.37677721,25868.7038238,2010/10/01 00:00:00+00,2010/10/02 00:00:00+00,HR08041129406,Mile Ridge West Pt 1,3307500.9921875,25844.2308543846
151.35583499284144,-33.50362369484196,2010,2010,2010-11,Prescribed Burn,20.97779034,2921.50182276,2010/08/28 00:00:00+00,2010/08/29 00:00:00+00,HR09021935806-1,Daleys Pt,209384.28515625,2918.75988606842
151.73949228085485,-32.94745547092763,2010,2010,2010-11,Prescribed Burn,2.86673446,887.68660732,2010/09/25 00:00:00+00,2010/09/26 00:00:00+00,HR09081239714,East Scenic Drive,28613.9140625,886.85882276992
150.96674629386357,-33.39812616726547,2010,2010,2010-11,Prescribed Burn,94.77383262,8721.22485569,2010/10/23 00:00:00+00,2010/10/23 00:00:00+00,HR08041129404,Leets Vale HR Phase 1,945948.77734375,8712.98697811194
151.40284846826728,-33.513694337442836,2010,2010,2010-11,Prescribed Burn,6.31298519,1417.92306929,2010/08/31 00:00:00+00,2010/08/31 00:00:00+00,HR10021742589,Mt Bouddi Rd East,63011.48046875,1416.59331182366
150.7175640956739,-33.35684032743154,2010,2010,2010-11,Prescribed Burn,177.35176837,8391.81371917,2010/11/26 00:00:00+00,2010/11/27 00:00:00+00,HR08041129406-1,Mile Ridge West Pt 2,1770163.59375,8383.87443610177
150.91132221353894,-33.2596776821443,2010,2010,2010-11,Prescribed Burn,3.28269129,1225.13464289,2010/11/27 00:00:00+00,2010/11/28 00:00:00+00,HR08041129399,Gorricks Pt 3,32764.75390625,1223.97373327253
150.9280624828219,-33.26377880098057,2010,2010,2010-11,Prescribed Burn,254.50012447,15145.7666156,2011/03/04 00:00:00+00,2011/03/09 00:00:00+00,HR08041129399,Gorricks Run Stage 4,2540181.31640625,15131.4176755041
150.73789471143792,-33.347033758665155,2010,2010,2010-11,Prescribed Burn,351.52559712,14660.4190444,2011/03/09 00:00:00+00,2011/03/13 00:00:00+00,HR08041129406,Mile Ridge Nth Stge 1,3508606.0859375,14646.5455124969
151.0796905349459,-33.32603395187698,2010,2010,2010-11,Prescribed Burn,156.95048596,11723.1400034,2011/03/09 00:00:00+00,2011/03/12 00:00:00+00,HR10043043609,Wat Buddha Dhamma,1566534.34375,11712.0410747945
150.9126359233401,-32.95250991304684,2010,2010,2010-11,Prescribed Burn,157.79540554,16500.0465606,2011/03/06 00:00:00+00,2011/03/08 00:00:00+00,HR100317429951,Spring Arm,1575011.36328125,16484.652891083
151.36089466109848,-32.89988639250575,2010,2010,2010-11,Prescribed Burn,26.04155717,2638.0058938,2011/03/10 00:00:00+00,2011/03/15 00:00:00+00,HR10072945298,Austar,259932.67578125,2635.55904820428
151.37886236741406,-32.89242537418862,2010,2010,2010-11,Prescribed Burn,32.10301319,2806.0218076,2011/03/09 00:00:00+00,2011/03/15 00:00:00+00,HR10080645387,Southams West,320435.4375,2803.42142544036
151.42586245001849,-32.7985321120246,2010,2010,2010-11,Prescribed Burn,90.10232154,3971.07235755,2011/04/14 00:00:00+00,2011/04/14 00:00:00+00,HR10020842488,Lismore Street,899375.265625,3967.43899704253
151.3441819345506,-33.53270485475504,2010,2010,2010-11,Prescribed Burn,5.05707607,1262.13687428,2011/05/18 00:00:00+00,2011/05/19 00:00:00+00,HR10021742590,Flannel Flower,50476.1171875,1260.95525417591
151.57377329601806,-33.166151018914064,2010,2010,2010-11,Prescribed Burn,4.7356298,1673.74342818,2011/03/25 00:00:00+00,2011/03/25 00:00:00+00,HR10071545027,Houston Ave - Phase 1,47266.7578125,1672.16005876259
151.57251940773406,-33.16517332094246,2010,2010,2010-11,Prescribed Burn,3.76609639,1143.74543119,2011/05/15 00:00:00+00,2011/05/15 00:00:00+00,HR10071545027,Houston Ave - Phase 2,37589.73046875,1142.6633822588
150.74608947233548,-33.33549284728122,2010,2010,2010-11,Prescribed Burn,83.89675073,26288.7111144,2011/05/19 00:00:00+00,2011/05/20 00:00:00+00,HR08041129406,Mile RIdge Nth Stge 2,837379.953125,26263.8262138002
150.68760415487947,-33.20692191724457,2010,2010,2010-11,Prescribed Burn,266.97260644,10943.7252509,2011/05/17 00:00:00+00,2011/05/20 00:00:00+00,HR10043043608,Six Brothers,2664672.40234375,10933.3623392827
151.31044143289193,-33.269663245978045,2010,2010,2010-11,Prescribed Burn,39.44614185,8662.77085945,2011/05/21 00:00:00+00,2011/05/22 00:00:00+00,HR07050223623,Campbells Pt Rd 2,393714.40234375,8654.56387412757
150.94980107804432,-32.6459092295223,2010,2010,2010-11,Prescribed Burn,1331.26551565,27521.9837832,2011/05/18 00:00:00+00,2011/05/22 00:00:00+00,HR11012048947,California,13288969.2265625,27497.5002169359
151.35449030040607,-33.530513598675746,2010,2010,2010-11,Wildfire,0.01169195,38.55691484,2010/08/01 00:00:00+00,2010/08/01 00:00:00+00, ,Wagstaffe Car Bunout,116.10546875,38.4719456459986
151.38772593747476,-33.50764235971213,2010,2010,2010-11,Wildfire,0.73912255,745.26421973,2010/08/29 00:00:00+00,2010/08/31 00:00:00+00,10083032008,Turkey Trk - NW Ridge,7377.38671875,744.565715674874
151.62630264681468,-32.890878344488165,2010,2010,2010-11,Wildfire,0.9764082,708.17659051,2010/09/13 00:00:00+00,2010/09/13 00:00:00+00,10091932302,Summerhill Track,9746.0078125,707.520691189222
151.6303633473828,-32.896131892021934,2010,2010,2010-11,Wildfire,0.28466091,387.90289225,2010/09/13 00:00:00+00,2010/09/13 00:00:00+00, ,Fence Trail 1,2841.34375,387.543153849946
151.62723545488595,-32.896605542489944,2010,2010,2010-11,Wildfire,1.38455048,672.72890287,2010/09/19 00:00:00+00,2010/09/19 00:00:00+00, ,Coal & Allied,13819.83203125,672.104962789534
150.7086391923435,-33.35506014244656,2010,2010,2010-11,Wildfire,10.29151625,2550.1422325,2010/09/18 00:00:00+00,2010/09/18 00:00:00+00,10091832289,Bush alight - Colo Hts,102720.5078125,2547.72951141754
151.0028098107459,-33.23265451239606,2010,2010,2010-11,Wildfire,98.05534688,5667.1790339,2010/09/24 00:00:00+00,2010/10/04 00:00:00+00,10092832423,Sillivans Arm,978696.65625,5661.81080486518
150.97133455351624,-33.235365938785414,2010,2010,2010-11,Wildfire,5.04461303,853.76296644,2010/09/27 00:00:00+00,2010/09/30 00:00:00+00,10092732414,St Albans Common,50350.58984375,852.954263235557
151.50030311109845,-33.3326604704236,2010,2010,2010-11,Wildfire,9.79691853,1452.89780853,2010/10/08 00:00:00+00,2010/10/11 00:00:00+00,10100932593,Terilbah Island,97783.76953125,1451.5225054112
